word,frequency
смерти,8
честный,8
старуху,8
бьет,8
особенно,8
спине,8
милости,8
стану,8
простите,8
самые,8
безмятежно,8
ровно,8
горя,8
бок,8
рука,8
еду,8
лежал,8
лошади,8
чей,8
неловко,8
видали,8
твое,8
вроде,8
городе,8
купца,8
хотелось,8
снова,8
никаких,8
дрожа,8
рыжий,8
вторых,8
билет,8
видели,8
судьба,8
бледное,8
стояли,8
глупо,8
нашли,8
карман,8
сладко,8
кротко,8
пойти,8
оттого,8
нужны,8
умеет,8
редакцию,8
чувства,8
спала,8
слушал,8
дачу,8
спальной,8
ожидании,8
тоска,8
ложится,8
сердится,8
коньяку,8
плевать,8
смеется,8
таперя,8
будем,8
ту,8
рыба,8
году,8
врешь,8
пишет,8
нянька,8
туман,8
помнишь,8
дали,8
направо,8
собаку,8
ученого,8
физиономию,8
готово,8
новой,8
отставной,8
работу,8
спасибо,8
иду,8
уши,8
прындин,8
писали,8
пятьдесят,8
красавица,8
принял,8
страдания,8
состоянии,8
засим,8
образование,8
видишь,8
птица,8
просил,8
бросил,8
слышатся,8
петух,8
прощай,8
грязи,8
звания,8
лезет,8
скандал,8
начальника,8
гришку,8
чудак,8
подай,8
зевнул,8
максим,8
васечка,8
двести,8
тащу,8
больного,8
мир,8
зебры,8
муркин,8
аптеке,8
холодно,8
способ,8
пришибеев,8
ставится,8
мужем,7
говоришь,7
обращается,7
мальчишка,7
скотина,7
ком,7
всему,7
затылок,7
столовой,7
глубоко,7
уйду,7
останавливается,7
желая,7
уходит,7
чувствовать,7
слишком,7
хватает,7
садясь,7
живешь,7
бледный,7
отцу,7
зимой,7
большими,7
какому,7
прошлое,7
будущее,7
искать,7
звук,7
гы,7
ручку,7
носом,7
первая,7
наших,7
считать,7
подать,7
представить,7
выйдет,7
табаку,7
сделайте,7
одолжение,7
пишу,7
приходится,7
разных,7
лег,7
ответ,7
заходил,7
лошадиная,7
больной,7
прочим,7
евсеич,7
сила,7
тещи,7
других,7
охотник,7
перо,7
васильичу,7
постойте,7
вслух,7
дороже,7
послал,7
боль,7
труд,7
встретил,7
ивана,7
судя,7
тупо,7
полдень,7
каждого,7
ставит,7
точки,7
сюртук,7
рукав,7
угрюмо,7
новую,7
язык,7
солнце,7
другу,7
составляет,7
ибо,7
строго,7
природы,7
целая,7
любовь,7
одеяла,7
кулаком,7
секретаря,7
бороду,7
лезут,7
солидно,7
честное,7
твою,7
раздается,7
смотрит,7
понятно,7
благодарю,7
ет,7
советника,7
минутку,7
глазом,7
душенька,7
верю,7
ожидал,7
узнает,7
маленькой,7
больницу,7
навстречу,7
матрена,7
твоего,7
зная,7
пожить,7
нею,7
двора,7
закрывает,7
должность,7
мере,7
таланта,7
написано,7
поглядеть,7
матери,7
годы,7
долгих,7
ходят,7
хожу,7
этакая,7
москвы,7
кассир,7
портрет,7
тела,7
лежала,7
лампу,7
ударил,7
пьяный,7
удовольствия,7
сунул,7
потерял,7
удивился,7
шум,7
федосья,7
кухарку,7
настоящий,7
корзину,7
могли,7
другим,7
лакея,7
начала,7
любила,7
здоровье,7
глядели,7
мечты,7
остановился,7
чемодан,7
прочее,7
наше,7
идя,7
последние,7
женского,7
приходилось,7
которыми,7
боли,7
дорого,7
очки,7
девочка,7
деньгами,7
ложась,7
сторож,7
розалия,7
карловна,7
возможно,7
живой,7
поедешь,7
жив,7
бегут,7
решает,7
спустя,7
полтора,7
вернулся,7
нужна,7
щука,7
убил,7
пути,7
улыбается,7
молчи,7
видимо,7
извозчика,7
норовит,7
вокзал,7
кладбище,7
церковь,7
поедем,7
софья,7
отворяется,7
роман,7
англии,7
петра,7
заплачу,7
переднюю,7
глазки,7
университете,7
нисколько,7
рассказал,7
стены,7
хороша,7
вера,7
красная,7
лес,7
дивана,7
землю,7
фоне,7
картина,7
велено,7
знакомые,7
маслов,7
публики,7
бас,7
получает,7
театре,7
довольно,7
пальцем,7
митька,7
басом,7
играют,7
уснуть,7
сапогах,7
держит,7
женский,7
публику,7
смехом,7
смешно,7
козявкин,7
имеете,7
хриплым,7
мирового,7
отошел,7
болезненный,7
съел,7
шабаш,7
держать,7
порошок,7
услышал,7
сичас,7
запах,7
настройщик,7
милка,7
камышев,7
фармацевт,7
полковник,7
молчал,7
батя,7
ершаков,7
нянин,7
сером,6
желал,6
целые,6
оставить,6
играл,6
обедом,6
обедать,6
оставил,6
всякого,6
бледнеет,6
прав,6
подбородок,6
плачешь,6
желает,6
болван,6
французски,6
боюсь,6
кусок,6
глазам,6
молчании,6
тарелки,6
гувернантки,6
тэк,6
вздох,6
искренно,6
громче,6
проснувшись,6
кофе,6
нового,6
важная,6
чики,6
запахом,6
народа,6
свиньи,6
слушай,6
сильнее,6
кабак,6
кровь,6
смотри,6
уху,6
зашептал,6
песни,6
девчонка,6
вышли,6
медик,6
красными,6
состоит,6
третье,6
ясно,6
думала,6
молчала,6
удовольствием,6
видела,6
обязательно,6
глупая,6
окне,6
сурово,6
кричал,6
больному,6
прислуга,6
послать,6
советами,6
схватил,6
света,6
почесывая,6
отвечал,6
плачущим,6
краю,6
закричал,6
природа,6
видимому,6
неожиданно,6
хвост,6
милостивый,6
противно,6
требует,6
вызывает,6
ухо,6
визг,6
приносит,6
мнению,6
густой,6
лишний,6
статьи,6
весьма,6
многие,6
мужей,6
дочери,6
галстук,6
горничная,6
брак,6
рыбы,6
мужчин,6
тошно,6
пришли,6
прическа,6
желание,6
черные,6
редко,6
походка,6
брови,6
собою,6
читает,6
чтение,6
дремлет,6
пристава,6
бумагах,6
остается,6
палец,6
ящик,6
обоих,6
гостей,6
массу,6
получал,6
чувствуешь,6
глаша,6
вертится,6
уютно,6
открывает,6
сон,6
привидение,6
желаете,6
председатель,6
будете,6
взяли,6
рад,6
айда,6
придет,6
пьяница,6
разу,6
бросило,6
другом,6
григория,6
плетется,6
пустить,6
духу,6
поезжай,6
особливо,6
точку,6
сделаю,6
господина,6
машинально,6
помнит,6
воля,6
получить,6
готова,6
миру,6
житья,6
ошалел,6
вашескородие,6
гимназии,6
нашей,6
подавать,6
бумаге,6
личность,6
сказано,6
прочел,6
мечтал,6
черта,6
молитвы,6
бумаги,6
собственного,6
тайна,6
вышло,6
беспокойство,6
недели,6
подал,6
мешает,6
дикобразов,6
й,6
знаменитость,6
показалась,6
квартиру,6
актеров,6
сует,6
парикмахер,6
федор,6
пару,6
здорово,6
смел,6
пойдем,6
караул,6
некому,6
кусочек,6
наступило,6
ужаснулся,6
переполох,6
страха,6
пропала,6
брошку,6
близко,6
низко,6
захотелось,6
ответила,6
горлу,6
найду,6
поскорее,6
сердцем,6
гордость,6
надеюсь,6
никому,6
человеческого,6
синей,6
синяя,6
мною,6
этими,6
двумя,6
второй,6
которому,6
насколько,6
ставлю,6
глупый,6
никакой,6
вновь,6
одежде,6
боясь,6
города,6
ваксина,6
клавдия,6
огонек,6
темно,6
постепенно,6
чепуха,6
капель,6
нижнем,6
выйду,6
спины,6
лошаденка,6
бранится,6
накажи,6
кашляет,6
вашим,6
днем,6
огнем,6
укрылся,6
заболел,6
деревне,6
застал,6
хрипит,6
отродясь,6
мигая,6
найдешь,6
тащи,6
ум,6
мигает,6
кажись,6
верьте,6
кузьма,6
подальше,6
всеми,6
публике,6
кухарки,6
жалованья,6
старика,6
сидя,6
делай,6
супруга,6
погодите,6
дикая,6
залу,6
губ,6
ай,6
стул,6
широко,6
честь,6
положение,6
помощник,6
веки,6
супруги,6
мебель,6
глядите,6
сию,6
сцену,6
вне,6
думают,6
умереть,6
образованный,6
условия,6
кишки,6
любишь,6
спи,6
моде,6
калоши,6
краснея,6
соглашается,6
примеру,6
восторга,6
болезни,6
съесть,6
даче,6
великолепная,6
горячей,6
слушайте,6
налево,6
иваныча,6
дух,6
саввич,6
артист,6
коп,6
одному,6
актеры,6
кролик,6
пальцами,6
вина,6
обидно,6
вдоль,6
ученик,6
петя,6
п,6
шестикрылов,6
расписался,6
карты,6
арест,6
перебил,6
третьего,6
едем,6
подумать,6
тигров,6
слышно,6
куплю,6
купил,6
пива,6
вино,6
пристал,6
осип,6
выпивши,6
рыбкин,6
всюду,6
очередь,6
варя,6
знаком,6
почта,6
почту,6
недаром,6
понял,6
савелия,6
ямщик,6
трубку,6
генеральше,6
воде,6
заходи,6
вторник,6
восемь,6
едешь,6
радость,6
лед,6
наверху,6
круг,6
недоразумение,6
маркел,6
вагоне,6
границу,6
чаем,6
партия,6
получаешь,6
катюша,6
щипцова,6
редактор,6
перегарин,6
захар,6
звоню,6
мертвое,6
восклицательный,6
утопленника,6
кружить,6
семечкин,6
хорошего,5
просыпается,5
комнатам,5
спор,5
работает,5
институтка,5
ага,5
перестает,5
лука,5
ивановна,5
гувернантка,5
ешь,5
человеком,5
ве,5
посторонних,5
благодаря,5
городу,5
думаешь,5
нежно,5
виноваты,5
полное,5
добра,5
поворачивает,5
столовую,5
диваном,5
взглянешь,5
баню,5
выпьешь,5
хлеб,5
филька,5
ухмыльнулся,5
серьезно,5
десяток,5
крепко,5
кучер,5
ножки,5
